description,headquarters,homepage,id,logo_path,name,origin_country,parent_company
"","Paris, France","https,//www.canalplus.fr",104,"/9aotxauvc9685tq9pTcRJszuT06.png","Canal+","FR",null
"","Paris, France","",105,"/pyiNvPJYGz4W2SImgULoG2sn4y4.png","CiBy 2000","FR",null
"","","",107,null,"Mr. Brown Entertainment Filmproduction GmbH (Potsdam)",null,null
"","","",109,null,"Rome Paris Films",null,null
"","","",110,null,"Impéria",null,null
"","","",112,null,AB Svensk Filmindustri,null,null
"","Stockholm, Sweden","",113,null,"Svenska Ord","SE",null
"","Solna, Sweden","",115,null,"FilmTeknik","SE",null
"","","",116,null,"Cameo Film- und Fernsehproduktion",null,null
"","","https,//www.khm.de/home/",117,"/twj6GjwWKt23x21fkxItt7v7lEQ.png","Kunsthochschule für Medien Köln","DE",null
"","","https,//www.dfi.dk/en",118,"/AiBorgNTCS1lT1FdFPYheax9jfF.png","Det Danske Filminstitut","DK",null
"","","",119,"/1di2gITGUZr730AMuMKiCrP90Vl.png","Danmarks Radio (DR)","DK",null
"","","",120,null,"Scorsese Productions",null,null
"","","",121,null,"Y3 Film",null,null
"","Wien, Austria","http,//www.coop99.at/web-coop99/?lang=en",122,null,"Coop 99 Filmproduktion","AT",null
"","","",123,null,"Trust Film",null,null
"","","https,//www.swr.de/",124,"/7MjDMOybX0D3fcIEpCyY9es5XZU.png","Südwestrundfunk","DE",null
"","","",125,null,Danish Film Institute,null,null
"","Beverly Hills, California","http,//lakeshoreentertainment.com",126,"/kADPanRDkKTxncPXXVahvHPUvCj.png","Lakeshore Entertainment","US",null
"","","",127,null,"Screen Gems, Inc.",null,{"name","Sony Pictures",34,"/GagSvqWlyPdkFHMfQ3pNq6ix9P.png"}
"","","",128,null,"Time Warner",null,null
"","","",129,null,"Section Eight","US",null
"","Detroit, Michigan","",130,"/c9dVHPOL3cqCr2593Ahk0nEKTEM.png","Jerry Bruckheimer Films","US",null
"","","",131,null,"Bender-Spink Inc.",null,null
"","","",134,null,"Rogue Pictures",null,null
"","","",135,null,"UIP",null,null
"","Los Angeles, California","http,//citylight.com",136,"/fkWq46O9I1OY3ts1yVrbHuzRANB.png","City Light Films","US",null
"","","",137,null,"Great American Films Limited Partnership",null,null
"","","http,//www.schrammfilm.de",138,null,"Schramm Film Koerner & Weber","DE",null
"","","",139,null,"LJ Film",null,null
"","Cologne, Germany","http,//www.pandorafilm.com",140,"/ooz5b0ov3PLfBoOJyMmdoffVuHs.png","Pandora Film","DE",null
"","","",141,null,"Véra Films","FR",null
"","","",142,null,"Silver Films",null,null
"","","",144,null,"Fono Roma",null,null
"","","",145,null,"Gaumont Columbia Tristar Films",null,null
"","","",146,null,"Handmade Films Ltd.",null,null
"","","",147,null,"Fidélité Productions",null,null
"","","",148,null,"Gimages",null,null
"","Paris, France","",149,null,"FOZ","FR",null
"","","",150,null,"Headforce Ltd.",null,null
"","","",151,null,"Marquis Film",null,null
"","Santa Monica, California","",152,null,"Icon Productions","US",null
"","","",153,null,"Minerva Film SpA",null,null
"","Frederiksberg, Denmark","http,//nimbusfilm.dk/",155,"/cDY49SOQwJixJSMun9Haerx8dAQ.png","Nimbus Film","DK",null
"","Stockholm, Sweden","",156,null,"Søren Stærmose","SE",null
"","","",157,null,"SVT Drama",null,null
"","Los Angeles, California, United States","http,//www.spyglassentertainment.com/",158,"/jSj8E9Q5D0Y59IVfYFeBnfYl1uB.png","Spyglass Entertainment","US",null
"","","",159,null,"Shady Acres Entertainment",null,null
"","","",160,null,"Pit Bull Productions",null,null
"","","",161,null,"Claussen+Wöbke Filmproduktion","DE",null
"","Munich, Germany","https,//www.br.de/index.html",162,"/pIK5tsFVxjoXTJGcd0nYhiL1kn1.png","Bayerischer Rundfunk","DE",null
"","London","http,//www.revolution-films.com",163,null,"Revolution Films","GB",null
"","Toronto, Ontario","http,//rhombusmedia.com",164,"/v3zcUepvKC7Vz36yjklk1rw6k8Q.png","Rhombus Media","CA",null
"","","",165,null,"Steen Herdel Filmproduktion",null,null
"","","",166,null,"Peter Rommel Productions",null,null
"","","",167,null,"Deblokada",null,null
"","Zagreb","http,//www.jadran-film.com/",168,"/AmNSNdDaByDpc0bzekWFeYRXDW2.png","Jadran Film","HR",null
"","","",169,null,"Noirfilm",null,null
"","","",170,null,"Eve Productions Inc.",null,null
"","Burbank, California, United States","",171,null,"Malpaso Productions","US",null
"","","",172,null,"NPV Entertainment",null,null
"","","",173,null,"Village Productions","GR",null
"","Burbank, California, United States","https,//www.warnerbros.com",174,"/6rFNo5taSC9i0Sxnl81nucQMsw9.png","Warner Bros. Pictures","US",{"name","Warner Bros. Entertainment",17,"/s1y7CTv6YHe87YUGOq6SRB6DmO7.png"}
"","Santa Monica, California, United States","",175,"/trtXLj3zv8T9ke1Vhw4SCkkM4JJ.png","Caravan Pictures","US",null
"","","",176,null,"Different Tree Same Wood Productions",null,null
"","","",177,null,"Columbia TriStar",null,{"name","Sony Pictures",34,"/GagSvqWlyPdkFHMfQ3pNq6ix9P.png"}
"","","",178,null,"Ghoulardi Film Company","US",null
"","","",179,null,"The Magnolia Project",null,null
"","London, United Kingdom","https,//www.film4productions.com/",181,"/zhQ77XOviCBuXd74IurqqjgLNe0.png","Channel Four Films","GB",null
"","","",182,null,"JVC Entertainment",null,null
"","","",183,null,"Le Studio Canal+",null,null
"","","",184,null,"Locus Solus Entertainment",null,null
"","","",185,null,"Pandora Cinema",null,null
"","Paris","http,//pyramide-productions.com/en",186,"/1xlcFvAz1PQIkMhO0pBLBPW4PWY.png","Pyramide Productions","FR",null
"","","",187,null,"Victor Musical Industries, Inc.","JP",null
"","Roubaix, France","http,//www.arpselection.com",189,"/3NcJ66KlMs1s6yOh0AMSLMvhtSV.png","ARP Sélection","FR",null
"","","",190,null,"Alice Productions",null,null
"","","https,//www.senator.de/",191,"/d5tPJd8jGLtJC5cp9NG0HeoTyoe.png","Senator Film","DE",null
"","Tokyo, Japan","http,//www.shochiku.co.jp/",192,"/93eAKlnQecDdMtucfOprzcjMw9V.png","Shochiku Co., Ltd.","JP",null
"","","",193,null,"Excelsa Films",null,null
"","","",194,null,"Hobby Films",null,null
"","","",195,null,"Pole Star",null,null
"","","",196,null,"Filmstudio Berlin",null,null
"","","",197,null,"Rommel Film",null,null
"","","",198,null,"GFP Medienfonds",null,null
"","","",199,null,"3 Sat",null,null
"","","",200,null,"Corazón International",null,null
"","Paris ","https,//www.arte.tv/fr/",201,"/6UIpEURdjnmcJPwgTDRzVRuwADr.png","ARTE","FR",null
"","","",203,null,"Panfilm",null,null
"","","",204,null,"Wüste Filmproduktion",null,null
"","","",205,null,"Mirage Entertainment",null,null
"","","",206,null,"Star Partners II Ltd.",null,null
"","Paris","http,//www.agatfilmsetcie.com",207,"/uskenzq65wJe0cT0D8StQI3hJnO.png","Agat Films & Cie","FR",null
"","Paris, France","http,//www.bacfilms.com/production/",208,"/bxQYlRhQu6nbohBEL0SWz8xIAGy.png","Bac Films","FR",null
"","","",209,null,"Radiant Film GmbH",null,null
"","","https,//www.swr.de/",210,"/evEPz76DrzGqsKesjYjrWVGvRpp.png","Südwestdeutscher Rundfunk","DE",null
"","","",211,null,"Film Finance Group",null,null
"","","",212,null,"Infinity Features Entertainment",null,null
"","","",213,null,"Cooper's Town Productions",null,null
"","London, England","https,//www.eagle-vision.tv",214,"/qIptM4dZBNflgv2OXzYECv8iQNH.png","Eagle Vision","GB",null
"","","",215,"/tQyeqkCj24krhY2W8qeAztcOS37.png","Double Feature Films",null,null
"","","",216,null,"Jersey Films",null,null
"","","",217,null,"Ponti-De Laurentiis Cinematografica",null,null
"","","",218,null,"Rafran Cinematografica",null,null
"","","",219,null,"The Mirisch Corporation",null,null
"","","",220,null,"Pathé Consortium Cinéma","FR",null
"","","",221,null,"Riama Film",null,null
"","","",222,null,"Société Nationale Pathé Cinéma",null,null
"","Paris ","http,//www.filmsdulosange.fr/en/",223,"/b9Icqi8qGm7gJ6jVs8bauUo5N5Q.png","Les Films du Losange","FR",null
"","Vienna","http,//www.wega-film.at/index.php?lang=en",224,null,"wega film vienna","AT",null
"","","http,//www.bimfilm.com/",225,"/cmxkBc3dmwWaIHFCrkXZoAfGoOa.png","BIM Distribuzione","IT",null
"","Stockholm, Sweden","",227,null,"Happy End Filmproductions","SE",null
"","Luleå, Sweden","https,//filmpoolnord.se/",228,"/zT2bcTDEbBkfZi2APB8DYJKLIQ3.png","Filmpool Nord","SE",null
"","","",229,null,"Solar Films Productions",null,null
"","","",230,null,"Boje Buck Produktion",null,null
"","","",231,null,"Initial Productions",null,null
"","","",233,null,"Argus Film Produktie",null,null
"","","",234,null,"CoBo Fund",null,null
"","Copenhagen, Denmark","https,//www.nordiskfilm.com/",235,"/obOynoztBEhDNfHsDXBqOuQLAZk.png","Nordisk Film","DK",null
"","","",236,null,"October Films","US",null
"","","",238,null,"Rai Cinemafiction",null,null
"","","",239,null,"VPRO Television",null,null
"","","",240,null,"Bazmark Films",null,null
"","","",241,null,"Herzog",null,null
"","Lidingö, Sweden","https,//www.gfstudios.se/",242,null,"GF Studios","SE",null
"","","",243,null,"CB Films",null,null
"","","",244,null,"French Productions",null,null
"","London, England","http,//www.cowboyfilms.co.uk",245,"/9oyhlRJFKrGPmhbRseNbuD9H6dN.png","Cowboy Films","GB",null
"","","",246,null,"Film Council",null,null
"","","",247,null,"Granada Film Productions",null,null
"","","",248,null,"Impact Pictures",null,null
"","","",249,null,"Société Nouvelle de Cinématographie",null,null
"","","",250,null,"Canal+ Polska","PL",null
"","","",251,null,"Avenue Pictures Productions",null,null
"","","",254,null,"Pandora Filmproduktion","DE",null
"","Paris, France","",255,null,"Paradis Films","FR",null
"","","",256,null,"Tesela, P.C.",null,null
"","","",257,null,"La Zanfoñia Producciones",null,null
"","New York City, New York","",258,null,"Scott Rudin Productions","US",null
"","","",259,null,"Douek Productions",null,null
"","Warszawa, Poland","http,//www.heritage.com.pl",260,null,"Heritage Films","PL",null
"","","",261,null,Samuel Goldwyn,null,null
"","","",262,null,"Independent Film Distributors",null,null
"","","",263,null,"P.R. Productions",null,null
